location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,population,population_density
Colombia,2020-04-01,1065.0,159.0,85.0,17.0,1.0,1.857,20.774,3.101,1.658,0.332,0.02,0.036,1.67,51265841.0,44.223
Colombia,2020-04-02,1161.0,96.0,95.714,19.0,2.0,1.857,22.647,1.873,1.867,0.371,0.039,0.036,1.63,51265841.0,44.223
Colombia,2020-04-03,1267.0,106.0,104.0,25.0,6.0,2.714,24.714,2.068,2.029,0.488,0.117,0.053,1.57,51265841.0,44.223
Colombia,2020-04-04,1406.0,139.0,114.0,32.0,7.0,3.714,27.426,2.711,2.224,0.624,0.137,0.072,1.54,51265841.0,44.223
Colombia,2020-04-05,1485.0,79.0,111.857,35.0,3.0,3.571,28.967,1.541,2.182,0.683,0.059,0.07,1.52,51265841.0,44.223
Colombia,2020-04-06,1579.0,94.0,111.571,46.0,11.0,4.857,30.8,1.834,2.176,0.897,0.215,0.095,1.52,51265841.0,44.223
Colombia,2020-04-07,1780.0,201.0,124.857,50.0,4.0,4.857,34.721,3.921,2.435,0.975,0.078,0.095,1.53,51265841.0,44.223
Colombia,2020-04-08,2054.0,274.0,141.286,54.0,4.0,5.286,40.066,5.345,2.756,1.053,0.078,0.103,1.53,51265841.0,44.223
Colombia,2020-04-09,2223.0,169.0,151.714,69.0,15.0,7.143,43.362,3.297,2.959,1.346,0.293,0.139,1.48,51265841.0,44.223
Colombia,2020-04-10,2473.0,250.0,172.286,80.0,11.0,7.857,48.239,4.877,3.361,1.56,0.215,0.153,1.4,51265841.0,44.223
Colombia,2020-04-11,2709.0,236.0,186.143,100.0,20.0,9.714,52.842,4.603,3.631,1.951,0.39,0.189,1.31,51265841.0,44.223
Colombia,2020-04-12,2776.0,67.0,184.429,109.0,9.0,10.571,54.149,1.307,3.597,2.126,0.176,0.206,1.21,51265841.0,44.223
Colombia,2020-04-13,2852.0,76.0,181.857,112.0,3.0,9.429,55.632,1.482,3.547,2.185,0.059,0.184,1.14,51265841.0,44.223
Colombia,2020-04-14,2979.0,127.0,171.286,127.0,15.0,11.0,58.109,2.477,3.341,2.477,0.293,0.215,1.11,51265841.0,44.223
Colombia,2020-04-15,3105.0,126.0,150.143,131.0,4.0,11.0,60.567,2.458,2.929,2.555,0.078,0.215,1.11,51265841.0,44.223
Colombia,2020-04-16,3233.0,128.0,144.286,144.0,13.0,10.714,63.063,2.497,2.814,2.809,0.254,0.209,1.14,51265841.0,44.223
Colombia,2020-04-17,3439.0,206.0,138.0,153.0,9.0,10.429,67.082,4.018,2.692,2.984,0.176,0.203,1.18,51265841.0,44.223
Colombia,2020-04-18,3621.0,182.0,130.286,166.0,13.0,9.429,70.632,3.55,2.541,3.238,0.254,0.184,1.2,51265841.0,44.223
Colombia,2020-04-19,3792.0,171.0,145.143,179.0,13.0,10.0,73.967,3.336,2.831,3.492,0.254,0.195,1.23,51265841.0,44.223
Colombia,2020-04-20,3977.0,185.0,160.714,189.0,10.0,11.0,77.576,3.609,3.135,3.687,0.195,0.215,1.24,51265841.0,44.223
