iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
COL;South America;Colombia;2020-04-01;1065.0;159.0;85.0;17.0;1.0;1.857;20.774;3.101;1.658;0.332;0.02;0.036;1.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-02;1161.0;96.0;95.714;19.0;2.0;1.857;22.647;1.873;1.867;0.371;0.039;0.036;1.63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-03;1267.0;106.0;104.0;25.0;6.0;2.714;24.714;2.068;2.029;0.488;0.117;0.053;1.57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-04;1406.0;139.0;114.0;32.0;7.0;3.714;27.426;2.711;2.224;0.624;0.137;0.072;1.54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-05;1485.0;79.0;111.857;35.0;3.0;3.571;28.967;1.541;2.182;0.683;0.059;0.07;1.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;-407.0;-0.62;-8.51;-7.939009525
COL;South America;Colombia;2020-04-06;1579.0;94.0;111.571;46.0;11.0;4.857;30.8;1.834;2.176;0.897;0.215;0.095;1.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-07;1780.0;201.0;124.857;50.0;4.0;4.857;34.721;3.921;2.435;0.975;0.078;0.095;1.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-08;2054.0;274.0;141.286;54.0;4.0;5.286;40.066;5.345;2.756;1.053;0.078;0.103;1.53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-09;2223.0;169.0;151.714;69.0;15.0;7.143;43.362;3.297;2.959;1.346;0.293;0.139;1.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
COL;South America;Colombia;2020-04-10;2473.0;250.0;172.286;80.0;11.0;7.857;48.239;4.877;3.361;1.56;0.215;0.153;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87.96;51265841.0;44.223;32.2;7.646;4.312;13254.949;4.5;124.24;7.44;4.7;13.5;65.386;1.71;77.29;0.767;;;;
